名目原系列,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,,(単位:10億円)
Nominal Gross Domestic Product (original series),,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,,(Billion Yen)
,?内?生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫品?加,政府最終消費支出,公的固定?本形成,公的在庫品?加,財貨・サービス,,,,海外からの?得,,,?民??得,,?内需要,民間需要,公的需要,,?固定?本形成,,?内?生産(支出側)(?FISIM）,家計最終消費支出（?FISIM）,財貨・サービス,
http://www.data.go.jp/data/en/dataset/cao_20160201_0056/resource/d54c9af2-77d5-4c51-9f17-19c75be88fc3?inner_span=True,,,家計最終消費支出,,,,,,,,?輸出,輸出,輸入,,?受取,受取,支払,,,,,,,,,,,輸出,輸入
,,,,?く?ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,（?FISIM）,（?FISIM）
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,GDP,Consumption ofHouseholds,Export,Import
,,,,,,,,,,,Net Exports,Exports,Imports,,Net,Receipt,Payment,,,,,,,,,Excluding FISIM,,,
10-12.,"123,099.50","73,901.90","71,676.50","60,036.00","3,730.80","15,284.50","1,071.70","26,035.30","5,883.60",-4.6,"-2,803.70","16,935.00","19,738.70",,"3,027.80","4,810.40","1,782.50","126,127.40",,"125,903.30","93,988.90","31,914.40",,"24,898.90",,"121,831.20","70,889.70","16,854.30","19,738.70"
2013/ 1- 3.,"117,820.50","71,737.30","70,311.00","58,673.80","3,564.10","18,347.50","-3,129.20","23,798.70","6,418.40",-24.8,"-2,891.50","18,496.20","21,387.70",,"4,642.00","5,968.70","1,326.60","122,462.50",,"120,712.00","90,519.70","30,192.30",,"28,330.00",,"116,572.60","69,538.50","18,415.50","21,387.70"
4- 6.,"118,925.00","72,027.50","70,268.90","58,631.80","3,519.00","15,115.70",373.1,"26,313.20","4,212.20",0,"-2,635.70","19,558.70","22,194.40",,"4,616.30","6,830.50","2,214.20","123,541.30",,"121,560.70","91,035.30","30,525.40",,"22,846.90",,"117,697.00","69,495.40","19,483.20","22,194.40"
7- 9.,"117,861.10","73,744.20","71,890.10","60,250.20","3,981.00","16,601.40",-705.2,"22,378.60","5,382.20",-33.2,"-3,487.90","19,542.50","23,030.40",,"4,998.70","6,427.20","1,428.50","122,859.80",,"121,349.00","93,621.30","27,727.70",,"25,964.60",,"116,670.50","71,150.40","19,467.00","23,030.40"
10-12.,"125,521.50","76,040.60","73,793.60","62,145.90","4,250.30","15,938.10",626.5,"26,283.20","6,988.60",13,"-4,618.80","19,950.10","24,568.90",,"3,389.20","5,429.40","2,040.20","128,910.70",,"130,140.30","96,855.50","33,284.80",,"27,177.00",,"124,350.60","73,074.90","19,874.60","24,568.90"
2014/ 1- 3.,"120,767.10","74,738.40","73,273.30","61,615.80","4,100.40","20,500.10","-4,188.50","23,803.70","6,978.10",36.4,"-5,201.40","20,931.10","26,132.50",,"4,939.90","6,479.00","1,539.10","125,707.00",,"125,968.50","95,150.30","30,818.20",,"31,578.60",,"119,590.20","72,551.20","20,855.60","26,132.50"
4- 6.,"121,043.60","71,820.90","69,974.30","58,322.90","3,616.60","15,662.00","1,756.10","26,876.70","4,563.80",0.8,"-3,253.30","20,850.80","24,104.10",,"4,133.30","6,901.30","2,768.00","125,176.90",,"124,296.90","92,855.60","31,441.30",,"23,842.40",,"119,899.40","69,273.50","20,775.30","24,104.10"
7- 9.,"118,572.80","73,246.10","71,305.40","59,649.00","3,624.30","17,030.30",-461,"23,013.00","5,698.40",41.6,"-3,619.90","21,409.90","25,029.80",,"5,700.70","7,473.10","1,772.40","124,273.50",,"122,192.70","93,439.70","28,753.00",,"26,353.00",,"117,436.70","70,612.60","21,334.40","25,029.80"
10-12.,"127,271.80","75,680.70","73,338.20","61,675.70","3,696.30","16,193.60",366.5,"27,093.30","7,334.60",-7.1,"-3,086.10","23,189.50","26,275.60",,"4,934.90","7,853.40","2,918.50","132,206.70",,"130,357.90","95,937.20","34,420.70",,"27,224.50",,"126,143.90","72,647.70","23,114.00","26,275.60"
2015/ 1- 3.,"123,016.70","72,625.00","71,078.10","59,421.70","3,576.40","19,791.70","-3,319.40","24,542.80","7,179.00",28.9,"-1,407.80","22,938.90","24,346.70",,"6,241.40","8,123.40","1,882.00","129,258.10",,"124,424.50","92,673.70","31,750.80",,"30,547.20",,"121,873.50","70,378.50","22,863.40","24,346.70"
