"航空客、貨運-月 依 期間, 國內外別, 指標 與 種類"

" "," 合計"," "," "," "," "," "," "," "," "," "," 國內航線"," "," "," "," "," "," "," "," "," "," 國際航線"," "," "," "," "," "," "," "," "," "
" "," 飛行班次(班次)"," "," 載客人數(人次)"," "," 客運延人公里(千人公里)"," "," 貨運噸數(公噸)"," "," 貨運延噸公里(千噸公里)"," "," 飛行班次(班次)"," "," 載客人數(人次)"," "," 客運延人公里(千人公里)"," "," 貨運噸數(公噸)"," "," 貨運延噸公里(千噸公里)"," "," 飛行班次(班次)"," "," 載客人數(人次)"," "," 客運延人公里(千人公里)"," "," 貨運噸數(公噸)"," "," 貨運延噸公里(千噸公里)"," "
" "," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"
"2014M02",17911,2.68,2355438,5.43,5387396,6.35,103786,-4.23,571400,-2.97,6554,0.44,366439,-7.76,105930,-4.90,2849,-35.06,280,-20.07,11357,4.02,1988999,8.28,5281467,6.61,100937,-2.93,571120,-2.96
"2014M03",19477,7.74,2541369,7.52,5833999,4.46,155701,6.54,888806,9.91,6836,7.13,365529,1.70,105673,6.87,2530,-24.36,319,-7.98,12641,8.07,2175840,8.56,5728326,4.42,153171,7.27,888487,9.92
"2014M04",20219,8.36,2681163,10.36,5769225,7.48,142937,7.69,775749,7.71,7564,7.90,458423,3.09,132335,6.93,2988,-22.73,356,4.71,12655,8.64,2222740,11.99,5636890,7.49,139949,8.61,775393,7.71
"2014M05",21315,9.54,2753575,18.25,6062790,12.96,145726,4.59,802599,1.51,8207,7.77,538688,9.60,154045,10.06,3295,-13.74,430,19.16,13108,10.67,2214887,20.56,5908745,13.04,142431,5.11,802170,1.51
"2014M06",21332,8.11,2843742,11.17,6257832,6.53,147155,6.16,837728,5.06,8463,7.17,571525,8.74,164363,11.07,3355,-20.06,399,4.52,12869,8.74,2272217,11.80,6093469,6.41,143800,6.97,837329,5.06
"2014M07",23093,5.57,3089322,8.77,6761076,7.04,147714,6.04,826056,4.76,8966,-1.79,624420,1.93,181216,5.66,3432,-28.17,406,2.92,14127,10.84,2464902,10.65,6579861,7.07,144282,7.26,825650,4.76
"2014M08",21874,1.56,2954051,4.31,6868786,5.70,145221,4.37,804759,1.47,7920,-8.58,491903,-7.95,141683,-5.11,3341,-22.54,406,4.96,13954,8.37,2462148,7.16,6727103,5.95,141880,5.23,804353,1.47
"2014M09",19897,-0.51,2530422,0.77,5700940,2.79,137302,2.65,748699,-1.20,6829,-13.16,408271,-13.38,119551,-9.83,3056,-27.15,395,-7.99,13068,7.70,2122151,4.04,5581389,3.10,134246,3.62,748304,-1.20
"2014M10",20766,4.36,2683509,9.10,5993793,7.10,148897,2.51,820373,0.74,7267,-2.89,413837,-2.28,120002,2.06,3005,-5.65,393,-9.50,13499,8.72,2269672,11.46,5873790,7.20,145892,2.69,819979,0.74
"2014M11",19979,6.14,2518763,7.02,5793864,7.76,150770,-0.23,831721,-3.46,6774,1.04,344263,-6.02,100498,-2.07,2695,-5.21,371,2.06,13205,8.95,2174500,9.43,5693366,7.95,148075,-0.13,831350,-3.46
"2014M12",20573,6.50,2663198,12.39,6351546,11.27,148895,4.97,806451,0.77,6763,1.62,339776,3.19,99082,6.74,3322,16.52,403,-3.15,13810,9.06,2323422,13.88,6252463,11.35,145573,4.73,806048,0.77
"2015M01",20391,2.65,2512219,6.86,6378483,7.41,137229,2.28,745136,2.24,6735,-6.11,319041,-5.50,93405,-3.07,3462,0.35,412,-20.45,13656,7.60,2193178,8.93,6285078,7.58,133767,2.33,744723,2.25
"2015M02",19144,6.88,2652529,12.61,6174564,14.61,126297,21.69,730305,27.81,6003,-8.41,359765,-1.82,108607,2.53,3901,36.93,410,46.40,13141,15.71,2292764,15.27,6065956,14.85,122396,21.26,729895,27.80
"2015M03",19774,1.52,2702312,6.33,6690201,14.68,147463,-5.29,845295,-4.90,5949,-12.98,322175,-11.86,97614,-7.63,2833,11.98,360,12.93,13825,9.37,2380137,9.39,6592588,15.09,144630,-5.58,844935,-4.90
"2015M04",20565,1.71,2821862,5.25,6390381,10.77,140100,-1.98,780171,0.57,6720,-11.16,401384,-12.44,121656,-8.07,3185,6.59,363,2.19,13845,9.40,2420478,8.90,6268725,11.21,136915,-2.17,779807,0.57
"2015M05",21627,1.46,2851723,3.56,6608350,9.00,139916,-3.99,769651,-4.11,7449,-9.24,452577,-15.99,133666,-13.23,3358,1.91,362,-15.62,14178,8.16,2399146,8.32,6474683,9.58,136558,-4.12,769289,-4.10
"2015M06",21281,-0.24,2856817,0.46,6630211,5.95,135319,-8.04,753701,-10.03,7802,-7.81,479740,-16.06,141961,-13.63,3616,7.78,390,-2.33,13479,4.74,2377077,4.61,6488250,6.48,131703,-8.41,753311,-10.03
"2015M07",22741,-1.52,3113420,0.78,7192847,6.39,140515,-4.87,775394,-6.13,8239,-8.11,515167,-17.50,153335,-15.39,3751,9.29,355,-12.69,14502,2.65,2598253,5.41,7039513,6.99,136764,-5.21,775039,-6.13
"2015M08",22026,0.69,3104756,5.10,7365752,7.24,133535,-8.05,739152,-8.15,7776,-1.82,465321,-5.40,137823,-2.72,3419,2.33,339,-16.43,14250,2.12,2639435,7.20,7227929,7.44,130116,-8.29,738813,-8.15
"2015M09",21162,6.36,2715800,7.33,6258486,9.78,132438,-3.54,700504,-6.44,7217,5.68,413534,1.29,122268,2.27,3306,8.18,378,-4.32,13945,6.71,2302266,8.49,6136218,9.94,129132,-3.81,700126,-6.44
"2015M10",21849,5.22,2928405,9.13,6737811,12.41,137339,-7.76,755955,-7.85,7228,-0.54,434201,4.92,132221,10.18,3217,7.05,355,-9.80,14621,8.31,2494204,9.89,6605590,12.46,134122,-8.07,755600,-7.85
"2015M11",20752,3.87,2804740,11.35,6544146,12.95,136305,-9.59,751800,-9.61,6707,-0.99,375871,9.18,116414,15.84,2911,8.01,340,-8.31,14045,6.36,2428869,11.70,6427731,12.90,133394,-9.91,751460,-9.61
"2015M12",21232,3.20,2869040,7.73,7083599,11.53,137122,-7.91,730951,-9.36,6630,-1.97,352845,3.85,109954,10.97,2982,-10.23,371,-7.76,14602,5.73,2516195,8.30,6973645,11.53,134140,-7.85,730580,-9.36
"2016M01",21346,4.68,2894102,15.20,7414691,16.25,129357,-5.74,676938,-9.15,6672,-0.94,338149,5.99,104494,11.87,3202,-7.51,419,1.59,14674,7.45,2555953,16.54,7310197,16.31,126155,-5.69,676519,-9.16
"2016M02",21738,13.55,3015080,13.67,7120874,15.33,103328,-18.19,559172,-23.43,6902,14.98,415613,15.52,126924,16.86,3742,-4.08,323,-21.10,14836,12.90,2599467,13.38,6993951,15.30,99586,-18.64,558848,-23.43
"2016M03",21894,10.72,3008775,11.34,7443100,11.25,141937,-3.75,750841,-11.17,6488,9.06,357050,10.82,109381,12.05,2749,-2.97,309,-13.98,15406,11.44,2651725,11.41,7333720,11.24,139188,-3.76,750532,-11.17

"*年增率係以所取得資料之原始精確位數進行計算，與資料發布機關公布之結果-"
"容或有尾差。 "
"(http://win.dgbas.gov.tw/dgbas03/bs7/calendar/MetaQry.asp?QM=0&MetaId-"
"=183) more "
"(http://www.stat.gov.tw/lp.asp?CtNode=1829&CtUnit=690&BaseDSD=7&xq_xC-"
"at=10) 國情統計通報 "
"本表貨運資料包括郵件、貨物及行李。 "

