"國民所得統計常用資料(2008SNA)-季 依 期間, 指標 與 種類"

" ","期中人口(人)"," "," 平均匯率(元/美元)"," "," 經濟成長(%)"," "," 國內生產毛額GDP(名目值，百萬元)"," "," 國內生產毛額GDP(名目值，百萬美元)"," "," 平均每人GDP(名目值，元)"," "," 平均每人GDP(名目值，美元)"," "," 國民所得毛額GNI(名目值，百萬元)"," "," 國民所得毛額GNI(名目值，百萬美元)"," "," 平均每人GNI(名目值，元)"," "," 平均每人GNI(名目值，美元)"," "," 國民所得(名目值，百萬元)"," "," 國民所得(名目值，百萬美元)"," "," 平均每人所得(名目值，元)"," "," 平均每人所得(名目值，美元)"," "
" ","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)","原始值"," 年增率(%)"
"2015Q2",23455425,0.30,30.99,--,0.57,--,4052079,3.38,130754,0.61,172757,3.10,5575,0.34,4137324,2.40,133505,-0.34,176391,2.13,5692,-0.59,3530432,3.54,113922,0.77,150517,3.26,4857,0.52
"2015Q3",23465155,0.27,32.21,--,-0.80,--,4188824,2.41,130047,-4.43,178513,2.16,5542,-4.68,4317036,3.08,134028,-3.80,183976,2.83,5712,-4.02,3660141,3.92,113634,-3.01,155982,3.67,4843,-3.24
"2015Q4",23480411,0.25,32.85,--,-0.52,--,4288870,1.39,130559,-4.66,182657,1.17,5560,-4.86,4396109,1.98,133824,-4.10,187225,1.76,5699,-4.33,3677738,2.85,111955,-3.28,156630,2.63,4768,-3.50

"(http://www.stat.gov.tw/lp.asp?ctNode=2404&CtUnit=1088&BaseDSD=7) "
"more "
"(http://www.stat.gov.tw/lp.asp?CtNode=1829&CtUnit=690&BaseDSD=7&xq_xC-"
"at=17) 國情統計通報 "
"2015Q3為修正數，2015Q4為初步統計數 "
" "

