"來臺旅客人數按居住地分-月 依 期間, 居住地別 與 種類"

" "," 合計"," "," 亞洲"," "," 亞洲-香港、澳門"," "," 亞洲-中國大陸"," "," 亞洲-日本"," "," 美洲"," "," 歐洲"," "," 大洋洲"," "," 非洲"," "," 未列明"," "
" "," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"," 原始值"," 年增率(%)"
"2015M01",752271,12.74,681757,14.59,74302,0.91,321458,19.56,121510,7.25,39772,-7.78,18600,-1.07,8509,-11.92,531,-11.50,...,...
"2015M02",817183,7.78,749797,8.23,97216,6.49,406239,33.02,104194,-23.75,41773,11.41,18669,-10.82,5883,-3.05,850,1.07,...,...
"2015M03",861592,-2.14,768761,-3.89,114473,16.41,279703,-22.62,167074,2.21,54365,12.95,28970,19.22,8172,16.34,1019,11.86,...,...
"2015M04",888011,-0.43,795549,-1.14,145479,-0.42,358798,-4.88,111026,-4.76,53360,4.76,27452,12.36,10454,-2.56,1004,3.83,...,...
"2015M05",866380,5.95,791943,6.49,124758,7.01,372766,11.66,124464,-6.73,47832,2.07,19885,-0.05,5812,-8.95,789,18.83,...,...
"2015M06",800147,-0.72,722097,-0.65,139920,4.77,308087,-2.25,118156,-1.29,50814,-0.17,20007,-1.74,6111,-1.18,766,-9.03,...,...
"2015M07",833239,3.03,757434,3.53,142515,7.29,352625,2.59,113133,-3.77,47581,2.27,21659,3.91,5616,-5.66,770,15.10,...,...
"2015M08",894258,10.06,822736,10.70,160829,8.74,367736,17.66,143540,-3.36,43444,3.39,21617,3.97,5328,2.46,1024,-6.48,...,...
"2015M09",837374,3.44,770089,4.11,118255,11.70,345243,1.03,145835,3.74,39199,-2.58,20392,-2.32,6653,-11.87,900,-18.26,...,...
"2015M10",926950,9.49,836726,10.48,113549,19.25,386663,11.18,149500,5.49,52751,1.03,27433,0.72,7870,-10.78,833,7.76,...,...
"2015M11",939483,9.37,847423,9.68,118026,18.69,357655,7.56,159431,4.77,56338,8.62,26789,2.40,7979,7.01,785,14.10,...,...
"2015M12",1022897,7.40,925247,7.24,164275,21.66,327129,-5.71,169366,12.07,60963,10.73,22562,11.43,12426,2.77,889,9.89,...,...
"2016M01",865930,15.11,786403,15.35,93448,25.77,366409,13.98,143078,17.75,47048,18.29,21940,17.96,9589,12.69,747,40.68,...,...
"2016M02",920155,12.60,846396,12.88,114431,17.71,405307,-0.23,132982,27.63,43661,4.52,22083,18.29,6274,6.65,952,12.00,...,...
"2016M03",1034730,20.10,935746,21.72,164894,44.05,363878,30.09,198744,18.96,57483,5.74,29398,1.48,8965,9.70,823,-19.23,...,...

"*年增率係以所取得資料之原始精確位數進行計算，與資料發布機關公布之結果-"
"容或有尾差。 "
"(http://win.dgbas.gov.tw/dgbas03/bs7/calendar/MetaQry.asp?QM=0&MetaId-"
"=732) more "
"(http://www.stat.gov.tw/lp.asp?CtNode=1829&CtUnit=690&BaseDSD=7&xq_xC-"
"at=10) 國情統計通報 "
"1.來臺旅客人數包括外籍來臺旅客人數及華僑來臺旅客人數。 "
"2.自2001年起，來臺旅客人數含大陸人士資料。 "

